BOROUGH,NEIGHBORHOOD,BUILDING_CATEGORY,ADDRESS,ZIP_CODE,LAND_SQR_FT,GROSS_SQR_FT,YEAR_BUILT,PRICE,long,lat
BROOKLYN,CANARSIE                 ,THREE FAMILY HOMES,1451 EAST 85TH   STREET                  ,11236,2000,2735,1960,660000,-74.11316680908203,40.62331771850586
QUEENS,FLORAL PARK              ,ONE FAMILY HOME,79-43 265 STREET                         ,11004,4000,2392,1950,480000,-73.7037124633789,40.74705123901367
BRONX,RIVERDALE                ,ONE FAMILY HOME,2768 NETHERLAND AVENUE                   ,10463,4000,1560,1970,770000,-73.9127197265625,40.88092041015625
QUEENS,HOWARD BEACH             ,ONE FAMILY HOME,15730 92 STREET                          ,11414,4000,1306,1945,629000,-73.82884979248047,40.662654876708984
QUEENS,FLUSHING-SOUTH           ,ONE FAMILY HOME,69-18 170TH   STREET                     ,11365,3990,2401,1950,841900,-73.79976654052734,40.732330322265625
QUEENS,JACKSON HEIGHTS          ,TWO FAMILY HOMES,2508 76 STREET                           ,11370,2200,2008,1950,465000,-73.88402557373047,40.7713508605957
QUEENS,RIDGEWOOD                ,ONE FAMILY HOME,1707 WILLOUGHBY AVENUE                   ,11385,1802,1152,1945,402000,-73.91915893554688,40.708030700683594
QUEENS,AIRPORT LA GUARDIA       ,ONE FAMILY HOME,21-27 80 STREET                          ,11370,1800,1224,1950,475000,-73.88249969482422,40.77260971069336
STATEN ISLAND,GREAT KILLS              ,ONE FAMILY HOME,137 PACIFIC AVENUE                       ,10312,4750,1281,1965,350000,-74.15514373779297,40.53907012939453
QUEENS,JACKSON HEIGHTS          ,THREE FAMILY HOMES,30-34 72ND   STREET                      ,11370,2100,2761,1965,766000,-73.89578247070312,40.75912857055664
QUEENS,SPRINGFIELD GARDENS      ,ONE FAMILY HOME,120-03 FARMERS BOULEVARD                 ,11412,5934,960,1950,360000,-73.76083374023438,40.6863899230957
STATEN ISLAND,BULLS HEAD               ,ONE FAMILY HOME,40 FAHY AVENUE                           ,10314,3150,1998,1988,303000,-74.16761016845703,40.620059967041016
BROOKLYN,OCEAN PARKWAY-NORTH      ,ONE FAMILY HOME,1515 EAST 7TH   STREET                   ,11230,9640,6030,2009,2350000,-73.96694946289062,40.61391067504883
STATEN ISLAND,GREAT KILLS              ,ONE FAMILY HOME,26 BARLOW AVENUE                         ,10308,3400,1080,1970,391000,-74.14865112304688,40.561370849609375
BROOKLYN,CANARSIE,ONE FAMILY HOME,1246 EAST 99TH STREET,11236,2600,896,1950,425000,-73.89276885986328,40.63882064819336
BROOKLYN,OCEAN HILL               ,THREE FAMILY HOMES,215 MACDOUGAL STREET                     ,11233,2500,5200,2006,586000,-73.91259002685547,40.680259704589844
QUEENS,ROSEDALE                 ,TWO FAMILY HOMES,226-17 146TH   AVENUE                    ,11413,3190,2200,2006,625000,-73.75422668457031,40.659751892089844
QUEENS,LAURELTON,ONE FAMILY HOME,232-14 121ST AVENUE,11411,5027,1172,1960,425000,-73.73267364501953,40.68492126464844
QUEENS,FLORAL PARK              ,ONE FAMILY HOME,80-36 265TH   STREET                     ,11004,4000,1142,1950,440000,-73.7064208984375,40.74477005004883
STATEN ISLAND,ANNADALE                 ,TWO FAMILY HOMES,14 MOSELY AVENUE                         ,10312,5500,3480,1995,735000,-74.1771469116211,40.53855895996094
BRONX,PELHAM PARKWAY NORTH     ,TWO FAMILY HOMES,2551 HONE AVENUE                         ,10469,2500,1820,1945,445000,-73.85794830322266,40.86463165283203
QUEENS,FLUSHING-SOUTH           ,ONE FAMILY HOME,144-04 68TH DRIVE                        ,11367,1800,1575,1945,675000,-73.82405853271484,40.731849670410156
BROOKLYN,BAY RIDGE                ,TWO FAMILY HOMES,8822 7 AVENUE                            ,11228,1390,2466,1965,515000,-74.01338958740234,40.61872863769531
